crois,4424
vint,4417
paroles,4405
tard,4399
lettres,4397
li,4390
instant,4386
grâce,4384
cheval,4383
silence,4382
cœur,4369
pensée,4353
cher,4346
vérité,4346
oh,4337
façon,4294
fallait,4290
or,4279
toi,4265
dame,4251
j'étais,4228
est-ce,4225
route,4215
lendemain,4200
chercher,4186
peur,4174
joie,4167
louis,4148
chemin,4137
contraire,4134
possible,4123
capitaine,4121
français,4119
figure,4104
voici,4100
cents,4073
garde,4067
livre,4062
travers,4061
liberté,4048
jean,4045
esprit,4042
celles,4033
d'artagnan,4013
s'écria,4006
forme,3996
jeunes,3995
luy,3993
trouvait,3974
laisser,3966
m'en,3959
voyait,3956
vingt,3942
compte,3938
afin,3916
heureux,3901
ensuite,3891
siècle,3887
gros,3865
ait,3844
question,3818
vieille,3812
bouche,3798
selon,3768
plutôt,3755
ta,3754
huit,3748
parole,3730
puisque,3723
idée,3721
parti,3706
dis,3670
voyage,3669
simple,3662
d'en,3658
cheveux,3654
travail,3652
jusqu'au,3636
loi,3624
âme,3619
quelquefois,3607
société,3606
vais,3595
aussitôt,3585
gouvernement,3581
dernière,3570
amour,3562
l'eau,3544
faites,3543
l'état,3543
trouva,3537
propre,3529
coups,3528
rire,3516
mariage,3501
lois,3494
dit-elle,3480
savait,3476
ensemble,3473
sujet,3466
combien,3465
nouvelles,3463
d'elle,3460
idées,3454
mourir,3446
vent,3437
trouvé,3428
plein,3427
l'heure,3421
personnes,3409
droite,3405
l'a,3404
charles,3402
caractère,3398
lumière,3393
filles,3377
voyant,3359
faisant,3357
auprès,3343
partout,3341
peuvent,3336
certain,3335
gauche,3322
l'histoire,3314
premiers,3310
n'ont,3307
livres,3307
d'or,3302
pierre,3301
salle,3293
affaires,3280
mademoiselle,3280
état,3278
larmes,3271
chevaux,3266
au-dessus,3263
demander,3230
science,3228
mêmes,3211
perdu,3207
faite,3204
foule,3197
petites,3197
beauté,3194
l'empereur,3190
foi,3185
vite,3181
vivre,3162
tenir,3157
julien,3148
pourrait,3147
vois,3139
guère,3138
i,3117
demande,3113
mauvais,3111
parle,3111
étant,3099
tenait,3098
venu,3096
rouge,3077
saint,3074
entendre,3073
sortir,3072
longue,3072
seconde,3072
vertu,3069
c'est-à-dire,3057
fer,3054
l'idée,3038
paix,3035
noir,3032
bord,3031
front,3020
conseil,3019
chef,3016
hors,3001
justice,2994
chère,2992
haute,2990
quoique,2989
qu’il,2982
voulut,2973
elle-même,2970
peuples,2969
politique,2969
put,2967
faits,2964
suivant,2955
sourire,2952
l'une,2944
donna,2943
estoit,2942
dames,2939
chapitre,2937
connaître,2934
lors,2933
garçon,2924
impossible,2921
marche,2913
années,2907
parut,2903
dû,2903
belles,2902
voyez,2899
exemple,2883
as,2874
davantage,2874
ordre,2872
douleur,2872
dehors,2871
rome,2869
malheur,2868
passion,2866
cours,2863
duchesse,2859
voiture,2859
donnait,2858
regardait,2857
puissance,2857
perdre,2853
juste,2851
entendu,2850
sentiment,2849
service,2847
princesse,2845
terrible,2844
salon,2841
anglais,2835
celui-ci,2830
affaire,2828
c’est,2822
lèvres,2816
maîtresse,2815
courage,2810
devoir,2798
d'où,2795
gloire,2791
l'armée,2770
allons,2769
pièce,2760
présent,2755
langue,2751
retour,2750
soldats,2750
alla,2747
blanc,2747
second,2733
